nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
1 800 FLOWERS COM,CMN,68243Q106,780,85013,SH,DFND,1,85013,0,0,
1 800 FLOWERS COM,CMN,68243Q106,1,100,SH,DFND,1,100,0,0,Call
1ST SOURCE CORP,CMN,336901103,526,14723,SH,DFND,1,14723,0,0,
1ST SOURCE CORP,CMN,336901103,790,22134,SH,DFND,2,22134,0,0,
21VIANET GROUP INC,CMN,90138A103,386,48596,SH,DFND,1,48596,0,0,
2U INC,CMN,90214J101,1198,31276,SH,DFND,1,31276,0,0,
2U INC,CMN,90214J101,226,5915,SH,DFND,2,5915,0,0,
3-D SYS CORP DEL,CMN,88554D205,7982,444681,SH,DFND,1,444681,0,0,
3-D SYS CORP DEL,CMN,88554D205,14841,826800,SH,DFND,1,826800,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,2389,133100,SH,DFND,1,133100,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,718,40012,SH,DFND,2,40012,0,0,
3M CO,CMN,88579Y101,196452,1114746,SH,DFND,1,1059539,0,55207,
3M CO,CMN,88579Y101,33307,189000,SH,DFND,1,189000,0,0,Call
3M CO,CMN,88579Y101,59407,337100,SH,DFND,1,337100,0,0,Put
3M CO,CMN,88579Y101,236358,1341190,SH,DFND,2,1190940,0,150250,
3M CO,CMN,88579Y101,3621,20548,SH,DFND,6,20548,0,0,
500 COM LTD,CMN,33829R100,1127,63908,SH,DFND,1,63908,0,0,
500 COM LTD,CMN,33829R100,44,2500,SH,DFND,1,2500,0,0,Put
500 COM LTD,CMN,33829R100,19,1100,SH,DFND,1,1100,0,0,Call
51JOB INC,CMN,316827104,885,26507,SH,DFND,1,26507,0,0,
58 COM INC,CMN,31680Q104,20019,420034,SH,DFND,1,420034,0,0,
58 COM INC,CMN,31680Q104,458,9600,SH,DFND,1,9600,0,0,Put
58 COM INC,CMN,31680Q104,1301,27300,SH,DFND,1,27300,0,0,Call
58 COM INC,CMN,31680Q104,9587,201146,SH,DFND,2,201146,0,0,
58 COM INC,CMN,31680Q104,298,6261,SH,DFND,3,3805,0,2456,
8POINT3 ENERGY PARTNERS LP,CMN,282539105,151,10486,SH,DFND,1,10486,0,0,
8X8 INC NEW,CMN,282914100,2482,160863,SH,DFND,1,160863,0,0,
8X8 INC NEW,CMN,282914100,366,23696,SH,DFND,2,23696,0,0,
A H BELO CORP,CMN,001282102,411,55942,SH,DFND,1,55942,0,0,
A10 NETWORKS INC,CMN,002121101,5111,478103,SH,DFND,1,478103,0,0,
A10 NETWORKS INC,CMN,002121101,336,31422,SH,DFND,2,31422,0,0,
AAON INC,CMN,000360206,284,9853,SH,DFND,1,9853,0,0,
AAR CORP,CMN,000361105,2375,75838,SH,DFND,1,74531,0,1307,
AAR CORP,CMN,000361105,620,19805,SH,DFND,2,19805,0,0,
AARONS INC,CMN,002535300,14394,566260,SH,DFND,1,566260,0,0,
AARONS INC,CMN,002535300,18,700,SH,DFND,1,700,0,0,Call
AARONS INC,CMN,002535300,3,100,SH,DFND,1,100,0,0,Put
AARONS INC,CMN,002535300,8329,327637,SH,DFND,2,327637,0,0,
ABAXIS INC,CMN,002567105,454,8803,SH,DFND,1,8803,0,0,
ABB LTD,CMN,000375204,277,12293,SH,DFND,1,12083,0,210,
ABB LTD,CMN,000375204,565,25100,SH,DFND,1,25100,0,0,Call
ABB LTD,CMN,000375204,236,10500,SH,DFND,1,10500,0,0,Put
ABB LTD,CMN,000375204,13061,580243,SH,DFND,2,580243,0,0,
ABB LTD,CMN,000375204,264,11733,SH,DFND,5,11733,0,0,
ABB LTD,CMN,000375204,1589,70611,SH,DFND,6,70611,0,0,
ABBOTT LABS,CMN,002824100,347767,8223386,SH,DFND,1,5193994,0,3029392,
ABBOTT LABS,CMN,002824100,22883,541100,SH,DFND,1,541100,0,0,Put
ABBOTT LABS,CMN,002824100,24418,577400,SH,DFND,1,577400,0,0,Call
ABBOTT LABS,CMN,002824100,521958,12342352,SH,DFND,2,11594524,0,747828,
ABBOTT LABS,CMN,002824100,63985,1513008,SH,DFND,3,426,0,1512582,
ABBOTT LABS,CMN,002824100,3968,93826,SH,DFND,4,0,0,93826,
ABBOTT LABS,CMN,002824100,42443,1003620,SH,DFND,5,4502,0,999118,
ABBOTT LABS,CMN,002824100,5133,121381,SH,DFND,6,121381,0,0,
ABBOTT LABS,CMN,002824100,1086,25679,SH,OTR,"6,2",0,25679,0,
ABBVIE INC,CMN,00287Y109,207042,3282729,SH,DFND,1,1805410,0,1477319,
ABBVIE INC,CMN,00287Y109,39103,620000,SH,DFND,1,620000,0,0,Call
ABBVIE INC,CMN,00287Y109,46508,737400,SH,DFND,1,737400,0,0,Put
ABBVIE INC,CMN,00287Y109,215522,3417184,SH,DFND,2,3324887,0,92297,
ABBVIE INC,CMN,00287Y109,1644,26068,SH,DFND,3,557,0,25511,
ABBVIE INC,CMN,00287Y109,412,6535,SH,DFND,5,1935,0,4600,
ABBVIE INC,CMN,00287Y109,4483,71077,SH,DFND,6,71077,0,0,
ABBVIE INC,CMN,00287Y109,1444,22898,SH,OTR,"6,2",0,22898,0,
ABEONA THERAPEUTICS INC,CMN,00289Y107,411,68452,SH,DFND,1,68452,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,15854,997715,SH,DFND,1,997715,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,3566,224400,SH,DFND,1,224400,0,0,Put
ABERCROMBIE & FITCH CO,CMN,002896207,3594,226200,SH,DFND,1,226200,0,0,Call
ABERCROMBIE & FITCH CO,CMN,002896207,1116,70260,SH,DFND,2,70260,0,0,
ABIOMED INC,CMN,003654100,45396,353054,SH,DFND,1,353054,0,0,
ABIOMED INC,CMN,003654100,30168,234623,SH,DFND,2,233734,0,889,
ABM INDS INC,CMN,000957100,4173,105119,SH,DFND,1,105119,0,0,
ABM INDS INC,CMN,000957100,74192,1868812,SH,DFND,2,1764286,0,104526,
ABRAXAS PETE CORP,CMN,003830106,34,20308,SH,DFND,1,20308,0,0,
AC IMMUNE SA,CMN,H00263105,479,29111,SH,DFND,1,29111,0,0,
ACACIA COMMUNICATIONS INC,CMN,00401C108,888,8601,SH,DFND,1,8601,0,0,
ACACIA RESH CORP,CMN,003881307,3457,530203,SH,DFND,1,530203,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,55118,1112375,SH,DFND,1,1112375,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,4668,94200,SH,DFND,1,94200,0,0,Put
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,32111,648056,SH,DFND,2,648056,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,21062,662108,SH,DFND,1,662108,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,3181,100000,SH,DFND,1,100000,0,0,Call
ACADIA PHARMACEUTICALS INC,CMN,004225108,16448,517083,SH,DFND,2,517083,0,0,
ACADIA RLTY TR,CMN,004239109,10053,277406,SH,DFND,1,277406,0,0,
ACADIA RLTY TR,CMN,004239109,106255,2931976,SH,DFND,2,2738152,0,193824,
ACADIA RLTY TR,CMN,004239109,339,9351,SH,DFND,6,9351,0,0,
ACCELERATE DIAGNOSTICS INC,CMN,00430H102,472,17328,SH,DFND,1,17328,0,0,
ACCELERON PHARMA INC,CMN,00434H108,13138,363021,SH,DFND,1,363021,0,0,
ACCELERON PHARMA INC,CMN,00434H108,431,11900,SH,DFND,1,11900,0,0,Put
ACCELERON PHARMA INC,CMN,00434H108,17095,472362,SH,DFND,2,472362,0,0,
ACCENTURE PLC IRELAND,CMN,G1151C101,277162,2268655,SH,DFND,1,2187595,0,81060,
ACCENTURE PLC IRELAND,CMN,G1151C101,24471,200300,SH,DFND,1,200300,0,0,Call
ACCENTURE PLC IRELAND,CMN,G1151C101,16994,139100,SH,DFND,1,139100,0,0,Put
ACCENTURE PLC IRELAND,CMN,G1151C101,183638,1503131,SH,DFND,2,1432896,0,70235,
ACCENTURE PLC IRELAND,CMN,G1151C101,3615,29587,SH,DFND,6,29587,0,0,
ACCENTURE PLC IRELAND,CMN,G1151C101,1769,14478,SH,OTR,"6,2",0,14478,0,
ACCO BRANDS CORP,CMN,00081T108,5335,553471,SH,DFND,1,553471,0,0,
ACCO BRANDS CORP,CMN,00081T108,806,83647,SH,DFND,2,83647,0,0,
ACCO BRANDS CORP,CMN,00081T108,376,39038,SH,DFND,6,39038,0,0,
ACCURAY INC,CMN,004397105,219,34448,SH,DFND,1,34448,0,0,
ACCURAY INC,CMN,004397105,637,100000,SH,DFND,1,100000,0,0,Put
ACCURIDE CORP NEW,CMN,00439T206,89,34810,SH,DFND,1,34810,0,0,
ACELRX PHARMACEUTICALS INC,CMN,00444T100,123,31561,SH,DFND,1,31561,0,0,
ACETO CORP,CMN,004446100,557,29320,SH,DFND,1,29320,0,0,
