nameOfIssuer,sprice,sshPrnamt
1 800 FLOWERS COM,7.30425285002,14649
1ST CENTURY BANCSHARES INC,6.89972401104,13044
1ST SOURCE CORP,30.8688283182,35991
21VIANET GROUP INC,21.1402683522,218966
22ND CENTY GROUP INC,1.39894667544,48608
2U INC,27.9932449838,34937
3-D SYS CORP DEL,8.68996986799,1790455
3M CO,150.640054473,2069277
500 COM LTD,20.1328133235,9487
58 COM INC,65.9623400106,183059
6D GLOBAL TECHNOLOGIES INC,2.91257575046,127722
8POINT3 ENERGY PARTNERS LP,16.1524794056,18573
8X8 INC NEW,11.4741284977,31985
A H BELO CORP,5.006842685,29959
A10 NETWORKS INC,6.55007314803,30076
AAON INC,23.2337434095,28450
AAR CORP,26.2757143226,38743
AARONS INC,22.3881943317,332586
ABAXIS INC,55.6669572799,22940
ABB LTD,17.7307341199,865390
ABBOTT LABS,44.9100532873,20757290
ABBVIE INC,59.2398180688,6963070
ABENGOA SA,1.28142445827,312933
ABENGOA YIELD PLC,19.2900913504,2667639
ABEONA THERAPEUTICS INC,3.37518563521,22221
ABERCROMBIE & FITCH CO,26.9999588928,1070372
ABIOMED INC,90.2769248553,276826
ABM INDS INC,28.4699101897,2256312
ABRAXAS PETE CORP,1.05830028936,149296
ACACIA RESH CORP,4.29499266709,66822
ACADIA HEALTHCARE COMPANY IN,62.4598121415,555205
ACADIA PHARMACEUTICALS INC,35.6494188746,122779
ACADIA RLTY TR,33.1499575368,3246339
ACCELERATE DIAGNOSTICS INC,21.5225898257,11244
ACCELERON PHARMA INC,48.7760209999,16381
ACCENTURE PLC IRELAND,104.500108251,3270188
ACCO BRANDS CORP,7.13087011307,176977
ACCURAY INC,6.7480501865,265410
ACCURIDE CORP NEW,1.66726702002,97165
ACE LTD,116.850046003,1473812
ACELRX PHARMACEUTICALS INC,3.86394239213,17081
ACETO CORP,26.9968837133,30485
ACHAOGEN INC,5.74088440652,19335
ACHILLION PHARMACEUTICALS IN,10.7900175313,2628448
ACI WORLDWIDE INC,21.4036191721,123951
ACORDA THERAPEUTICS INC,42.7813232917,214042
ACRE RLTY INVS INC,1.25407574618,19935
ACTIVISION BLIZZARD INC,38.7099439477,2880526
ACTUA CORP,11.4300558514,15398
ACTUANT CORP,23.9593973521,813543
ACUITY BRANDS INC,233.799790277,464423
ACXIOM CORP,20.9210051701,66536
ADAMAS PHARMACEUTICALS INC,28.2817006233,10749
ADCARE HEALTH SYSTEMS INC,2.4893584949,696565
ADECOAGRO S A,12.2929560651,140731
ADEPTUS HEALTH INC,54.5202419749,1989628
ADMA BIOLOGICS INC,8.07974024013,13243
ADOBE SYS INC,93.9400576579,2081934
ADTRAN INC,17.2119931824,83314
ADURO BIOTECH INC,28.1362154462,36501
ADVANCE AUTO PARTS INC,150.509818703,1337142
ADVANCED ENERGY INDS,28.22884976,257042
ADVANCED MICRO DEVICES INC,2.87004804467,7884537
ADVANCED SEMICONDUCTOR ENGR,5.67238807538,47599
ADVANTAGE OIL & GAS LTD,5.08074759572,170841
ADVISORSHARES TR,28.0720597569,20483
ADVISORY BRD CO,49.6100677826,370449
AECOM,30.0294609471,569907
AEGEAN MARINE PETROLEUM NETW,8.35946668719,103954
AEGERION PHARMACEUTICALS INC,10.0999949751,99505
AEGION CORP,19.3104169738,210301
AEGON N V,5.66937423633,520516
AEMETIS INC,2.89817528294,61763
AERCAP HOLDINGS NV,43.1601235277,1394667
AERIE PHARMACEUTICALS INC,24.3663414851,22449
AEROHIVE NETWORKS INC,5.0967282293,18247
AEROPOSTALE,0.276029590372,108684
AEROVIRONMENT INC,29.4705120226,629816
AES CORP,9.57019355556,4875241
AETNA INC NEW,108.119744191,3932316
AFFILIATED MANAGERS GROUP,159.760017362,2137988
AFFIMED N V,7.12778878732,31286
AFFYMETRIX INC,10.0920611687,51922
AFLAC INC,59.8999474503,3602307
AG MTG INVT TR INC,12.8366788218,88029
AGCO CORP,45.3902651989,584090
AGENUS INC,4.54816178461,18469
AGILENT TECHNOLOGIES INC,41.810044527,4997866
AGIOS PHARMACEUTICALS INC,64.8934037292,14963
AGL RES INC,63.8102404733,1197347
AGNICO EAGLE MINES LTD,26.2806474729,746595
AGREE REALTY CORP,33.9816276733,27868
AGRIA CORP,1.35922330097,10300
AGRIUM INC,89.3375796423,520923
AGROFRESH SOLUTIONS,6.33703645752,12782
AIR LEASE CORP,33.4814180713,135508
AIR METHODS CORP,41.9299449086,2347010
AIR PRODS & CHEMS INC,130.110641128,589383
AIR TRANSPORT SERVICES GRP I,10.0832659944,142315
AIRCASTLE LTD,20.895827652,58672
AIRGAS INC,138.319815051,874618
AIXTRON SE,4.36110041947,306574
AK STL HLDG CORP,2.24012685475,1437865
AKAMAI TECHNOLOGIES INC,52.63044531,1346388
AKEBIA THERAPEUTICS INC,12.9187839118,11611
AKORN INC,37.3132587729,171494
ALAMO GROUP INC,52.1005958186,439899
ALAMOS GOLD INC NEW,3.2881805401,300166
ALASKA AIR GROUP INC,80.5099461902,1143101
ALASKA COMMUNICATIONS SYS GR,1.74127310062,60875
ALBANY INTL CORP,36.5667254556,8505
ALBANY MOLECULAR RESH INC,19.8439868929,81788
ALBEMARLE CORP,56.0105320095,447398
ALCATEL-LUCENT,3.83037189832,1399603
ALCOA INC,9.87012658776,5539240
ALCOBRA LTD,6.24194986624,10093
ALDER BIOPHARMACEUTICALS INC,33.0295924939,562102
ALERE INC,39.0880049524,171229
ALEXANDER & BALDWIN INC NEW,35.3081795578,156451
ALEXANDERS INC,384.176587302,4032
ALEXANDRIA REAL ESTATE EQ IN,90.3595981443,880316
ALEXCO RESOURCE CORP,0.348735832607,11470
ALEXION PHARMACEUTICALS INC,190.749374114,1362070
ALEXZA PHARMACEUTICALS INC,0.7001618814,402764
ALIBABA GROUP HLDG LTD,81.2698960253,9589541
ALIGN TECHNOLOGY INC,65.8499310537,401762
ALIMERA SCIENCES INC,2.4201819655,1615581
ALKERMES PLC,79.3800253608,2067762
ALLEGHANY CORP DEL,477.915536614,41296
ALLEGHENY TECHNOLOGIES INC,11.2454385225,201415
ALLEGIANCE BANCSHARES INC,23.6274509804,10200
ALLEGIANT TRAVEL CO,167.824904167,40435
ALLEGION PUB LTD CO,65.9202729834,736162
ALLERGAN PLC,314.684019827,2624690
ALLETE INC,50.84275233,75645
ALLIANCE DATA SYSTEMS CORP,276.57033208,306432
ALLIANCE HEALTHCARE SRVCS IN,9.15264245645,16935
ALLIANCE HOLDINGS GP LP,20.1800028125,469326
ALLIANCE RES PARTNER L P,13.4904525194,1534122
ALLIANCEBERNSTEIN HOLDING LP,23.8505598051,1040898
ALLIANCEBERNSTEIN INCOME FUN,7.66952853704,563268
ALLIANT ENERGY CORP,62.4508486109,537879
ALLIED HEALTHCARE PRODS INC,1.12243135901,23164
ALLIED WRLD ASSUR COM HLDG A,37.1903844623,917307
ALLISON TRANSMISSION HLDGS I,25.8895236747,2033757
ALLSCRIPTS HEALTHCARE SOLUTN,15.3799598384,4682587
ALLSTATE CORP,62.0895554388,1865660
ALLY FINL INC,18.6401736006,7446980
ALNYLAM PHARMACEUTICALS INC,94.1381459295,393135
ALON USA ENERGY INC,14.8401485535,1841491
ALPHA & OMEGA SEMICONDUCTOR,9.19876652903,38266
ALPHA PRO TECH LTD,1.76144942124,27818
ALPHABET INC,772.45110191,4357481
ALPHATEC HOLDINGS INC,0.29667721519,70784
ALPINE GLOBAL PREMIER PPTYS,5.75276197947,15297
ALPINE TOTAL DYNAMIC DIVID F,7.6610828426,17491
ALPS ETF TR,12.2668592882,16452296
ALTISOURCE ASSET MGMT CORP,17.1650145205,61637
ALTISOURCE PORTFOLIO SOLNS S,27.813364889,102253
ALTISOURCE RESIDENTIAL CORP,12.409720833,144967
ALTRA INDL MOTION CORP,25.0761884194,41673
ALTRIA GROUP INC,58.2100857391,6784649
ALUMINUM CORP CHINA LTD,8.25609076635,19743
AMAG PHARMACEUTICALS INC,30.1948974374,175990
AMARIN CORP PLC,1.89052834115,446965
AMAYA INC,12.5931276887,92749
AMAZON COM INC,675.890532537,2999357
AMBAC FINL GROUP INC,14.0893574284,763697
AMBARELLA INC,55.7403136119,223716
AMBEV SA,4.45997169636,13006809
AMC NETWORKS INC,74.6803938299,564914
AMDOCS LTD,54.5700724858,1293218
AMEC FOSTER WHEELER PLC,6.44306752874,44544
AMEDICA CORP,0.113459083818,70510
AMEDISYS INC,39.3268246398,40049
AMERCO,389.492981793,71457
AMEREN CORP,43.2298794326,4117615
AMERESCO INC,6.22200099552,16072
AMERICA MOVIL SAB DE CV,14.0601663321,2987518
AMERICAN AIRLS GROUP INC,42.3498696724,1892922
AMERICAN ASSETS TR INC,38.3711824589,22986
AMERICAN AXLE & MFG HLDGS IN,18.940345212,1150771
AMERICAN CAMPUS CMNTYS INC,41.3414024956,574533
AMERICAN CAP LTD,13.7899563259,2480646
AMERICAN CAP MTG INVT CORP,13.9605551042,1410474
AMERICAN CAPITAL AGENCY CORP,17.3398872336,3859483
AMERICAN DG ENERGY INC,0.317965023847,28305
AMERICAN EAGLE OUTFITTERS NE,15.4996088349,1625912
AMERICAN ELEC PWR INC,58.2702162312,1812504
AMERICAN EQTY INVT LIFE HLD,24.0300644697,3114640
AMERICAN EXPRESS CO,69.5501748729,2972444
AMERICAN FINL GROUP INC OHIO,72.0805397607,471320
AMERICAN HOMES 4 RENT,16.6586958504,537377
AMERICAN INTL GROUP INC,61.8572744239,11688795
AMERICAN NATL INS CO,102.250560457,34347
