,Company,0216price,0216amt,0516price,0516amt,0816price,0816amt,1116price,1116amt,0216-0516chng,0516-0816chng
0,1 800 FLOWERS COM,7.30425285002,14649,7.89679703189,29379,9.01724393498,80956,9.17506734264,85013,14730,51577
1,1ST SOURCE CORP,30.8688283182,35991,31.8422633677,18309,32.3845327605,55860,35.7055647503,36857,-17682,37551
2,21VIANET GROUP INC,21.1402683522,218966,19.9788023317,18870,10.2104202478,843550,7.94304057947,48596,-200096,824680
3,2U INC,27.9932449838,34937,22.5949848957,40717,29.3990613032,34729,38.2888333199,37191,5780,-5988
4,3-D SYS CORP DEL,8.68996986799,1790455,15.4694215832,778245,13.6895666283,634790,17.9495061823,484693,-1012210,-143455
5,3M CO,150.640054473,2069277,166.63001345,2078035,175.119614605,2556544,176.230090725,2476484,8758,478509
6,500 COM LTD,20.1328133235,9487,16.7098941282,23519,16.5936355147,13921,17.6347249171,63908,14032,-9598
7,58 COM INC,65.9623400106,183059,55.6500332642,1043162,45.8910524329,1073085,47.660258096,627441,860103,29923
8,8X8 INC NEW,11.4741284977,31985,10.0634205147,76316,14.6054278036,97498,15.4313796672,184559,44331,21182
9,A H BELO CORP,5.006842685,29959,4.79784681996,17091,5.02183406114,13740,7.34689499839,55942,-12868,-3351
10,A10 NETWORKS INC,6.55007314803,30076,5.92094735158,74988,6.46588813768,81350,10.6903488543,509525,44912,6362
11,AAON INC,23.2337434095,28450,27.9548351848,10982,27.5445960126,7624,28.8237085152,9853,-17468,-3358
12,AAR CORP,26.2757143226,38743,23.2859363307,34742,23.3556411816,29586,31.3143669688,95643,-4001,-5156
13,AARONS INC,22.3881943317,332586,25.0995624626,539611,21.8892417191,701943,25.4201546711,893897,207025,162332
14,ABAXIS INC,55.6669572799,22940,45.3382603752,7036,47.278338945,7128,51.5733272748,8803,-15904,92
15,ABB LTD,17.7307341199,865390,19.4205857867,583762,19.8305649855,659840,22.5091868184,674880,-281628,76078
16,ABBOTT LABS,44.9100532873,20757290,41.8300575133,20158973,39.3099867726,22061722,42.2899859762,23323252,-598317,1902749
17,ABBVIE INC,59.2398180688,6963070,57.1197422358,5985006,61.9100336226,6231817,63.0700311478,6826491,-978064,246811
18,ABEONA THERAPEUTICS INC,3.37518563521,22221,2.55585786132,12129,2.33684810487,17545,6.00420732776,68452,-10092,5416
19,ABERCROMBIE & FITCH CO,26.9999588928,1070372,31.5393972833,1362962,17.8097422978,1065765,15.8898850629,1067975,292590,-297197
20,ABIOMED INC,90.2769248553,276826,94.8084430004,513372,109.290967761,550384,128.580836072,587677,236546,37012
21,ABM INDS INC,28.4699101897,2256312,32.3100761094,2067157,36.4798947243,2021360,39.6999692492,1973931,-189155,-45797
22,ABRAXAS PETE CORP,1.05830028936,149296,1.00023689821,37991,1.12908523567,146136,1.67421705732,20308,-111305,108145
23,ACACIA RESH CORP,4.29499266709,66822,3.79336730541,122846,4.39665770665,95982,6.52014417119,530203,56024,-26864
24,ACADIA HEALTHCARE COMPANY IN,62.4598121415,555205,55.1100541197,1066339,55.3999968361,1074621,49.5497977484,1760431,511134,8282
25,ACADIA PHARMACEUTICALS INC,35.6494188746,122779,27.9621912262,304268,32.4586819753,332361,31.8099442754,1179191,181489,28093
26,ACADIA RLTY TR,33.1499575368,3246339,35.1301270862,3165175,35.5197645965,3049063,36.2400360639,3218733,-81164,-116112
27,ACCELERON PHARMA INC,48.7760209999,16381,26.3888058088,217327,33.9790920038,416874,36.1905856356,835383,200946,199547
28,ACCENTURE PLC IRELAND,104.500108251,3270188,115.399807179,3060863,113.289983055,3326084,122.170388728,3815851,-209325,265221
29,ACCO BRANDS CORP,7.13087011307,176977,8.97616936499,182706,10.3315062398,247205,9.63830831938,676156,5729,64499
30,ACCURAY INC,6.7480501865,265410,5.77991948438,297582,5.1877856758,115078,6.35740826753,34448,32172,-182504
31,ACCURIDE CORP NEW,1.66726702002,97165,1.55041430516,58049,1.24259395991,166587,2.55673656995,34810,-39116,108538
32,ACETO CORP,26.9968837133,30485,23.5571506072,47926,21.8725368765,35524,18.9964411134,42429,17441,-12402
33,ACHAOGEN INC,5.74088440652,19335,2.75492489999,26498,3.80863549804,25731,4.79598336393,26689,7163,-767
34,ACHILLION PHARMACEUTICALS IN,10.7900175313,2628448,7.72014912986,2590494,7.79996657229,3978735,8.09984652425,5499240,-37954,1388241
35,ACI WORLDWIDE INC,21.4036191721,123951,20.7917442057,177330,19.5119208277,213408,19.3783507993,308695,53379,36078
36,ACORDA THERAPEUTICS INC,42.7813232917,214042,26.4472390052,284680,25.5069611039,292626,20.8796697444,724772,70638,7946
37,ACTIVISION BLIZZARD INC,38.7099439477,2880526,33.8397356316,3072985,39.6296517196,2850290,44.3000146783,4550924,192459,-222695
38,ACTUA CORP,11.4300558514,15398,9.04490576563,25097,9.03139986698,28567,12.9533678756,28950,9699,3470
39,ACTUANT CORP,23.9593973521,813543,24.7110492594,221318,22.6090129703,443938,23.2400229819,325473,-592225,222620
40,ACUITY BRANDS INC,233.799790277,464423,218.138321792,277975,247.957341231,153966,264.599429609,192850,-186448,-124009
41,ACXIOM CORP,20.9210051701,66536,21.4321391273,66069,21.9844951455,95067,26.6553720175,177075,-467,28998
42,ADCARE HEALTH SYSTEMS INC,2.4893584949,696565,2.32028416844,1130034,1.83966809801,1129008,2.07969511952,1130935,433469,-1026
43,ADECOAGRO S A,12.2929560651,140731,11.5478548489,104002,10.9692299038,71108,11.3760217984,14680,-36729,-32894
44,ADEPTUS HEALTH INC,54.5202419749,1989628,55.5400852504,1052195,51.6596637048,653295,43.050519975,439925,-937433,-398900
45,ADOBE SYS INC,93.9400576579,2081934,93.7993664179,1773093,95.7902263252,2050324,108.539838697,2194374,-308841,277231
46,ADTRAN INC,17.2119931824,83314,20.2225932109,179700,18.6531349214,148983,19.1436204155,184918,96386,-30717
47,ADURO BIOTECH INC,28.1362154462,36501,12.8037518936,48189,11.2921852945,23379,12.4398992597,26206,11688,-24810
48,ADVANCE AUTO PARTS INC,150.509818703,1337142,160.338947165,1086305,161.630198397,764226,149.119831504,902100,-250837,-322079
49,ADVANCED ENERGY INDS,28.22884976,257042,34.7898361434,421100,37.9603810852,344280,47.319588354,284322,164058,-76820
50,ADVANCED MICRO DEVICES INC,2.87004804467,7884537,2.84943461865,732426,5.13986873711,2114840,6.90995831565,6544902,-7152111,1382414
51,ADVANCED SEMICONDUCTOR ENGR,5.67238807538,47599,5.84482284689,69121,5.58273614974,49259,5.90756399861,77697,21522,-19862
52,ADVANTAGE OIL & GAS LTD,5.08074759572,170841,5.48666739822,63791,5.58744155992,78927,7.02725093943,67594,-107050,15136
53,ADVISORSHARES TR,28.0720597569,20483,27.6326709955,20483,26.5936054695,19892,27.5746496039,19692,0,-591
54,ADVISORY BRD CO,49.6100677826,370449,32.2397166421,38679,35.3905110533,69934,44.7394199658,404252,-331770,31255
55,AECOM,30.0294609471,569907,30.7912283931,282548,31.7703049371,740251,29.730608831,860830,-287359,457703
56,AEGEAN MARINE PETROLEUM NETW,8.35946668719,103954,7.56989147896,86527,5.49814972075,161327,9.99727400946,168746,-17427,74800
57,AEGERION PHARMACEUTICALS INC,10.0999949751,99505,3.69878957959,294691,1.49070874171,282416,2.97051002147,218481,195186,-12275
58,AEGION CORP,19.3104169738,210301,21.0875663314,223876,19.5096550815,295751,19.0705576224,232505,13575,71875
59,AEGON N V,5.66937423633,520516,5.50156237723,661812,4.00965046698,556657,3.86002529721,840409,141296,-105155
60,AEMETIS INC,2.89817528294,61763,2.03412471917,32938,2.27665253572,25476,1.06230659092,21651,-28825,-7462
61,AERCAP HOLDINGS NV,43.1601235277,1394667,38.7602376963,1783116,33.5902449403,1362985,38.4890428074,613889,388449,-420131
62,AERIE PHARMACEUTICALS INC,24.3663414851,22449,12.1602713791,420961,17.5994306325,455242,37.7401664585,257842,398512,34281
63,AEROHIVE NETWORKS INC,5.0967282293,18247,4.99532956991,24623,6.61179328026,14822,6.07449856734,17450,6376,-9801
64,AEROVIRONMENT INC,29.4705120226,629816,28.3200127332,615713,27.799713809,842095,24.4103688117,1255573,-14103,226382
65,AES CORP,9.57019355556,4875241,11.7999769327,7092302,12.4799321437,7210536,12.8498674371,6604037,2217061,118234
66,AETNA INC NEW,108.119744191,3932316,112.350032211,2340836,122.130239968,2027565,115.450358201,1854546,-1591480,-313271
