nameOfIssuer,sprice,sshPrnamt
1 800 FLOWERS COM,10.7007039404,49436
1ST SOURCE CORP,44.6646888143,30673
21VIANET GROUP INC,7.01588427732,25371
2U INC,30.1385400632,24686
3-D SYS CORP DEL,13.2901038103,840475
3M CO,178.570538193,2045679
500 COM LTD,15.3350191503,67623
51JOB INC,33.8111150193,22744
58 COM INC,28.0010320404,720902
8X8 INC NEW,14.3008474576,200128
A H BELO CORP,6.35665661621,64342
A10 NETWORKS INC,8.31169629277,130178
AAON INC,33.0575970971,65038
AAR CORP,33.0529461124,97722
AARONS INC,31.9892885683,944785
ABAXIS INC,52.7908430089,30403
ABB LTD,21.0706481258,567899
ABBOTT LABS,38.4100355078,24272693
ABBVIE INC,62.619919876,7703060
ABEONA THERAPEUTICS INC,4.84868751045,11962
ABERCROMBIE & FITCH CO,12.0002162897,517824
ABIOMED INC,112.679276698,511709
ABM INDS INC,40.8402245017,2058069
ABRAXAS PETE CORP,2.57212155501,190893
AC IMMUNE SA,12.9585516913,10495
ACACIA COMMUNICATIONS INC,61.8048711812,7103
ACACIA RESH CORP,6.49953574745,110931
ACADIA HEALTHCARE COMPANY IN,33.099874954,2384722
ACADIA PHARMACEUTICALS INC,28.8397405097,1544258
ACADIA RLTY TR,32.6798570972,5017678
ACCELERON PHARMA INC,25.5189371155,473805
ACCENTURE PLC IRELAND,117.130089407,3075162
ACCESS NATL CORP,27.7543445251,11854
ACCO BRANDS CORP,13.0510925924,203278
ACCURAY INC,4.58781362007,13950
ACELRX PHARMACEUTICALS INC,2.59163272862,21608
ACETO CORP,21.9795682886,71066
ACHILLION PHARMACEUTICALS IN,4.13001494595,4452042
ACI WORLDWIDE INC,18.1499209915,476531
ACORDA THERAPEUTICS INC,18.8009767797,344397
ACTIVISION BLIZZARD INC,36.1102580879,3963029
ACTUA CORP,13.996772862,26649
ACTUANT CORP,25.9489870097,94917
ACUITY BRANDS INC,230.859396616,198779
ACUSHNET HOLDINGS CORP,19.7231545951,36049
ACXIOM CORP,26.8008580765,249395
ADAMAS PHARMACEUTICALS INC,16.905606084,19461
ADCARE HEALTH SYSTEMS INC,1.45997949871,779463
ADECOAGRO S A,10.3524653313,20768
ADEPTUS HEALTH INC,7.63686576966,118766
ADIENT PLC,58.6036147561,201950
ADOBE SYS INC,102.949625234,2704886
ADTRAN INC,22.3431124927,113234
ADURO BIOTECH INC,11.4026951825,54987
ADVANCE AUTO PARTS INC,169.119920953,1060632
ADVANCED DISP SVCS INC DEL,22.2202000314,1571453
ADVANCED ENERGY INDS,54.7491134283,302288
ADVANCED MICRO DEVICES INC,11.3401437147,2689913
ADVANCED SEMICONDUCTOR ENGR,5.05096886766,32667
ADVANCEPIERRE FOODS HLDGS IN,29.7803984524,1994567
ADVANSIX INC,22.1411753375,394559
ADVANTAGE OIL & GAS LTD,6.76069471966,68632
ADVAXIS INC,7.15476667863,47381
ADVERUM BIOTECHNOLOGIES INC,2.89901755516,37254
ADVISORSHARES TR,29.2957746479,19525
ADVISORY BRD CO,33.2501328201,99759
AECOM,36.3594462966,650890
AEGEAN MARINE PETROLEUM NETW,10.1487180789,118143
AEGION CORP,23.6973445702,286319
AEGLEA BIOTHERAPEUTICS INC,4.33275563258,10386
AEGON N V,5.5299192591,930755
AEMETIS INC,1.41825683342,15512
AEP INDS INC,116.127159239,34445
AERCAP HOLDINGS NV,41.6106930567,564254
AERIE PHARMACEUTICALS INC,37.8499827169,173580
AEROHIVE NETWORKS INC,5.71557155716,22220
AEROJET ROCKETDYNE HLDGS INC,17.9508482298,186565
AEROVIRONMENT INC,26.8298466734,1404257
AES CORP,11.6199434722,6740050
AETNA INC NEW,124.009992312,3076365
AEVI GENOMIC MEDICINE INC,5.17108592804,18178
AFFILIATED MANAGERS GROUP,145.299927649,1824440
AFFIMED N V,1.80268422808,95968
AFLAC INC,69.6000717296,3089379
AG MTG INVT TR INC,17.1123747821,56801
AGCO CORP,57.8591292077,795069
AGENUS INC,4.10915604257,18982
AGILENT TECHNOLOGIES INC,45.5601329301,4952378
AGILYSYS INC,10.359147538,43826
AGIOS PHARMACEUTICALS INC,41.7270886407,76545
AGNC INVT CORP,18.129998265,4328627
AGNICO EAGLE MINES LTD,41.9999232177,625144
AGREE REALTY CORP,46.052960905,59931
AGRIUM INC,100.550544323,643000
AIMMUNE THERAPEUTICS INC,20.4424862611,42216
AIR LEASE CORP,34.3306597442,450705
AIR METHODS CORP,31.847828458,137529
AIR PRODS & CHEMS INC,143.819729801,1007998
AIR TRANSPORT SERVICES GRP I,15.972380302,26358
AIRCASTLE LTD,20.850444343,230115
AIRGAIN INC,14.4397191178,10111
AIRMEDIA GROUP INC,2.44832486738,71069
AK STL HLDG CORP,10.209925686,6465669
AKAMAI TECHNOLOGIES INC,66.680170951,903417
AKEBIA THERAPEUTICS INC,10.4173087592,48669
AKORN INC,21.8299356019,1210906
ALAMO GROUP INC,76.1003826108,33193
ALAMOS GOLD INC NEW,6.83982496079,875461
ALARM COM HLDGS INC,27.8478646855,10701
ALASKA AIR GROUP INC,88.7304710041,1498989
ALASKA COMMUNICATIONS SYS GR,1.64661553752,67411
ALBANY INTL CORP,46.2973852366,51018
ALBANY MOLECULAR RESH INC,18.7603401177,129955
ALBEMARLE CORP,86.0813849793,412656
ALCOA CORP,28.0803827142,754192
ALCOBRA LTD,2.09342765013,59233
ALDER BIOPHARMACEUTICALS INC,20.7997707663,628180
ALERE INC,38.9704900213,651339
ALEXANDER & BALDWIN INC NEW,44.8718738071,162418
ALEXANDERS INC,427.025139665,2864
ALEXANDRIA REAL ESTATE EQ IN,111.130285894,1332769
ALEXCO RESOURCE CORP,1.35435914665,95248
ALEXION PHARMACEUTICALS INC,122.35011498,1129766
ALGONQUIN PWR UTILS CORP,8.48148148148,81000
ALIBABA GROUP HLDG LTD,87.8099352504,11083928
ALIGN TECHNOLOGY INC,96.1297231904,1210146
ALIMERA SCIENCES INC,1.08041535149,813576
ALKERMES PLC,55.580486684,2036722
ALLEGHANY CORP DEL,608.110964763,61497
ALLEGHENY TECHNOLOGIES INC,15.9302590644,1245868
ALLEGIANT TRAVEL CO,166.387300335,40568
ALLEGION PUB LTD CO,64.0002535771,536326
ALLERGAN PLC,212.361053169,4616694
ALLETE INC,64.1944829608,177414
ALLIANCE DATA SYSTEMS CORP,228.501882808,428084
ALLIANCE HEALTHCARE SRVCS IN,9.59039496321,27319
ALLIANCE HOLDINGS GP LP,28.0985574722,152926
ALLIANCE RES PARTNER L P,22.4500304128,685567
ALLIANCEBERNSTEIN HOLDING LP,23.4499548079,660513
ALLIANT ENERGY CORP,37.889915072,1359623
ALLIANZGI EQUITY & CONV INCO,18.4372256365,11390
ALLIED HEALTHCARE PRODS INC,1.97663971249,16695
ALLIED WRLD ASSUR COM HLDG A,53.7101363912,2152778
ALLISON TRANSMISSION HLDGS I,33.6889432481,757103
ALLSCRIPTS HEALTHCARE SOLUTN,10.2100105178,1215082
ALLSTATE CORP,74.120192099,2580336
ALLY FINL INC,19.0199704452,5727664
ALMOST FAMILY INC,44.0971819552,34492
ALNYLAM PHARMACEUTICALS INC,37.4405235134,914437
ALON USA ENERGY INC,11.3802780785,1403920
ALON USA PARTNERS LP,9.600031265,358228
ALPHA & OMEGA SEMICONDUCTOR,21.2628140137,35508
ALPHABET INC,785.376374966,4652116
ALPHATEC HOLDINGS INC,3.25421133231,10448
ALPINE GLOBAL PREMIER PPTYS,5.13869487128,20044
ALPINE TOTAL DYNAMIC DIVID F,7.57265656979,24430
ALPS ETF TR,12.6389088651,40937632
ALTISOURCE PORTFOLIO SOLNS S,26.58729295,91886
ALTISOURCE RESIDENTIAL CORP,11.042165437,266071
ALTRA INDL MOTION CORP,36.9294256358,23748
ALTRIA GROUP INC,67.619990628,8459244
AMAG PHARMACEUTICALS INC,34.7997118715,231841
AMARIN CORP PLC,3.07995123079,752934
AMAYA INC,14.1430948419,22838
AMAZON COM INC,749.86990675,3384111
AMBAC FINL GROUP INC,22.4996798661,1350997
AMBARELLA INC,54.1305664134,315441
AMBER RD INC,9.10315359249,21531
AMBEV SA,4.90998622411,11371315
AMC ENTMT HLDGS INC,33.6451451124,91722
AMC NETWORKS INC,52.3397787961,1134338
AMDOCS LTD,58.2503100325,1508713
AMEC FOSTER WHEELER PLC,5.71106988765,95954
AMEDICA CORP,0.631003295239,14263
AMEDISYS INC,42.632212525,146204
AMERCO,369.590369411,72602
AMEREN CORP,52.4601271679,3208513
AMERICA MOVIL SAB DE CV,12.5699795624,2296742
AMERICAN AIRLS GROUP INC,46.6899567077,2742517
AMERICAN ASSETS TR INC,43.0822255047,81240
AMERICAN AXLE & MFG HLDGS IN,19.3005539586,357969
AMERICAN CAMPUS CMNTYS INC,49.7707244147,915056
AMERICAN CAP LTD,17.9200503606,7269176
AMERICAN DG ENERGY INC,0.286722540803,45340
AMERICAN EAGLE OUTFITTERS NE,15.1698464069,2792052
AMERICAN ELEC PWR INC,62.9599527191,2976257
AMERICAN EQTY INVT LIFE HLD,22.5396116938,667669
AMERICAN EXPRESS CO,74.0799284941,8059754
AMERICAN FINL GROUP INC OHIO,88.1206312245,702571
AMERICAN HOMES 4 RENT,20.980150665,1448512
AMERICAN INTL GROUP INC,64.8657343383,3891762
AMERICAN MIDSTREAM PARTNERS,18.1707646582,14804
AMERICAN NATL INS CO,124.579293716,19907
AMERICAN PUBLIC EDUCATION IN,24.5457588946,65714
AMERICAN RAILCAR INDS INC,45.3048509123,22470
AMERICAN RENAL ASSOCIATES HO,21.2799407081,712408
AMERICAN STS WTR CO,45.5618033939,79672
AMERICAN TOWER CORP NEW,105.670718005,7209140
AMERICAN VANGUARD CORP,19.1341951083,43012
AMERICAN WOODMARK CORP,75.2648344322,26998
AMERICAN WTR WKS CO INC NEW,72.3602226919,1844881
AMERICAS CAR MART INC,43.7536954135,35517
AMERIGAS PARTNERS L P,47.9205642115,1416490
AMERIPRISE FINL INC,110.940565692,2378643
AMERIS BANCORP,43.600658028,1031567
AMERISAFE INC,62.3503655728,527118
AMERISOURCEBERGEN CORP,78.1898469604,1664014
AMETEK INC NEW,48.5999983296,4429959
AMGEN INC,146.209999509,4032638
AMICUS THERAPEUTICS INC,4.96984777717,735435
AMIRA NATURE FOODS LTD,6.15223368438,139299
AMKOR TECHNOLOGY INC,10.5497132368,327971
AMN HEALTHCARE SERVICES INC,38.4494305974,508252
AMPHASTAR PHARMACEUTICALS IN,18.4200629733,271226
AMPHENOL CORP NEW,67.1999622164,4361684
AMPLIFY SNACK BRANDS,8.78214893808,11159
AMPLIPHI BIOSCIENCES CORP,0.447027268663,15659
AMTRUST FINL SVCS INC,27.3804258004,1458195
AMYRIS INC,0.722760946817,16603
ANADARKO PETE CORP,69.7299442895,5232587
ANALOG DEVICES INC,72.620085942,2756276
ANALOGIC CORP,82.9276209023,30810
ANAVEX LIFE SCIENCES CORP,3.94838212635,10384
ANDERSONS INC,44.7090567809,85240
ANGIES LIST INC,8.2304526749,12636
ANGIODYNAMICS INC,16.8699760259,283640
ANGLOGOLD ASHANTI LTD,10.5105487444,1335230
ANHEUSER BUSCH INBEV SA/NV,105.441039429,448554
ANI PHARMACEUTICALS INC,60.6111982368,23593
ANIKA THERAPEUTICS INC,48.9589195273,44425
ANIXTER INTL INC,81.0496602081,729417
ANNALY CAP MGMT INC,9.96962847546,2250134
ANSYS INC,92.4899732903,827041
ANTARES PHARMA INC,2.33185218943,131655
ANTERO MIDSTREAM PARTNERS LP,30.8799663088,10072647
ANTERO RES CORP,23.6500507795,4775550
ANTHEM INC,143.769894939,2184915
ANTHERA PHARMACEUTICALS INC,0.656087259606,24387
ANWORTH MORTGAGE ASSET CP,5.1696997837,883030
AON PLC,111.529580391,798147
APACHE CORP,63.4701362078,1344270
APARTMENT INVT & MGMT CO,45.327146451,1595203
APOGEE ENTERPRISES INC,53.5540501861,104810
APOLLO COML REAL EST FIN INC,16.622884916,188054
APOLLO ED GROUP INC,9.90047289968,976317
APOLLO GLOBAL MGMT LLC,19.3600161515,5913993
APOLLO INVT CORP,5.86013173189,165184
APPLE HOSPITALITY REIT INC,19.9792724356,819199
APPLE INC,115.819987927,50956360
APPLIED DNA SCIENCES INC,1.82775259541,13678
APPLIED GENETIC TECHNOL CORP,9.35815614563,60482
APPLIED INDL TECHNOLOGIES IN,59.3976736151,138928
APPLIED MATLS INC,32.2699479676,9297288
APPLIED MICRO CIRCUITS CORP,8.24995952728,2316375
APPLIED OPTOELECTRONICS INC,23.4243343445,11868
APPROACH RESOURCES INC,3.34961618981,128970
APTARGROUP INC,73.4483233005,268951
APTEVO THERAPEUTICS INC,2.44209594799,117522
AQUA AMERICA INC,30.0404397293,853616
AQUAVENTURE HLDGS LTD,24.5338785306,44999
AQUINOX PHARMACEUTICALS INC,16.5097918187,968819
ARALEZ PHARMACEUTICALS INC,4.40812283309,121140
ARAMARK,35.7204600422,1683237
ARATANA THERAPEUTICS INC,7.1867219917,60250
ARBOR RLTY TR INC,7.46086626581,258281
ARBUTUS BIOPHARMA CORP,2.44956693194,364146
