nameOfIssuer,sshPrnamt,value
1 800 FLOWERS COM,30648,178
1ST SOURCE CORP,47483,1454
21VIANET GROUP INC,20875,626
22ND CENTY GROUP INC,63850,196
2U INC,35716,600
3-D SYS CORP DEL,2179252,130319
3M CO,2803342,401550
500 COM LTD,50423,1866
51JOB INC,1277,84
58 COM INC,1679956,90818
8X8 INC NEW,18236,147
A H BELO CORP,28060,333
A10 NETWORKS INC,503013,6690
AAON INC,74216,2488
AAR CORP,188380,5192
AARONS INC,161588,5759
ABAXIS INC,9640,427
ABB LTD,756339,17411
ABBOTT LABS,16036883,655908
ABBVIE INC,7759586,437952
ABENGOA YIELD PLC,94966,3592
ABERCROMBIE & FITCH CO,358319,15498
ABIOMED INC,44674,1123
ABM INDS INC,11385,307
ABRAXAS PETE CORP,161211,1009
ACACIA RESH CORP,26127,464
ACADIA HEALTHCARE COMPANY IN,607701,27651
ACADIA PHARMACEUTICALS INC,400247,9042
ACADIA RLTY TR,2839906,79773
ACCELERATE DIAGNOSTICS INC,95880,2493
ACCENTURE PLC IRELAND,2305151,186348
ACCESS MIDSTREAM PARTNERS L,10031944,637530
ACCESS NATL CORP,13270,201
ACCO BRANDS CORP,132020,847
ACCURAY INC,380601,3349
ACCURIDE CORP NEW,32641,160
ACE LTD,4566736,473571
ACELRX PHARMACEUTICALS INC,10010,103
ACETO CORP,52965,961
ACHILLION PHARMACEUTICALS IN,2664362,20169
ACI WORLDWIDE INC,314232,17544
ACORDA THERAPEUTICS INC,293436,9892
ACORN ENERGY INC,42727,101
ACTAVIS PLC,1079430,240767
ACTIVISION BLIZZARD INC,3303201,73662
ACTUANT CORP,2194781,75873
ACTUATE CORP,289181,1379
ACUITY BRANDS INC,131698,18208
ACURA PHARMACEUTICALS INC,24752,27
ACXIOM CORP,141851,3077
ADAMAS PHARMACEUTICALS INC,17729,324
ADAMIS PHARMACEUTICALS CORP,85050,409
ADAMS EXPRESS CO,240572,3308
ADAMS RES & ENERGY INC,3888,304
ADEPT TECHNOLOGY INC,32663,343
ADOBE SYS INC,2910525,210606
ADTRAN INC,1269593,28642
ADVANCE AUTO PARTS INC,263789,35591
ADVANCED EMISSIONS SOLUTS IN,11028,253
ADVANCED ENERGY INDS,95658,1842
ADVANCED MICRO DEVICES INC,2474014,10366
ADVANCED SEMICONDUCTOR ENGR,40700,265
ADVANTAGE OIL & GAS LTD,53873,362
ADVENT SOFTWARE INC,123935,4036
ADVISORSHARES TR,23904,718
ADVISORY BRD CO,66478,3447
AECOM TECHNOLOGY CORP DELAWA,317211,10214
AEGERION PHARMACEUTICALS INC,104920,3367
AEGION CORP,21945,511
AEGON N V,523631,4592
AERCAP HOLDINGS NV,302797,13868
AERIE PHARMACEUTICALS INC,309374,7664
AEROFLEX HLDG CORP,13047975,137004
AEROHIVE NETWORKS INC,701919,5770
AEROPOSTALE,78563,274
AEROVIRONMENT INC,504492,16043
AES CORP,3668231,57041
AETERNA ZENTARIS INC,15239,18
AETNA INC NEW,1434956,116347
AFFILIATED MANAGERS GROUP,234101,48084
AFFYMETRIX INC,252891,2253
AFLAC INC,1204611,74987
AG MTG INVT TR INC,5046,96
AGCO CORP,476077,26765
AGENUS INC,263368,848
AGILE THERAPEUTICS INC,22232,194
AGILENT TECHNOLOGIES INC,12522165,719274
AGILYSYS INC,29578,416
AGIOS PHARMACEUTICALS INC,5276,242
AGL RES INC,571121,31428
AGNICO EAGLE MINES LTD,631867,24201
AGRIUM INC,287974,26388
AIR LEASE CORP,600221,23157
AIR METHODS CORP,834808,43118
AIR PRODS & CHEMS INC,782978,100707
AIRCASTLE LTD,134168,2384
AIRGAS INC,2041816,222374
AIXTRON SE,140208,2039
AK STL HLDG CORP,5444116,43335
AKAMAI TECHNOLOGIES INC,651841,39802
AKORN INC,310026,10309
ALAMO GROUP INC,5074,274
ALAMOS GOLD INC,321887,3264
ALASKA AIR GROUP INC,569748,54155
ALASKA COMMUNICATIONS SYS GR,98049,177
ALBANY INTL CORP,17409,661
ALBANY MOLECULAR RESH INC,14307,288
ALBEMARLE CORP,235159,16813
ALCATEL-LUCENT,2141685,7624
ALCOA INC,3546300,52803
ALCOBRA LTD,16255,281
ALERE INC,66557,2490
ALEXANDER & BALDWIN INC NEW,56457,2340
ALEXANDERS INC,2561,946
ALEXANDRIA REAL ESTATE EQ IN,279084,21668
ALEXION PHARMACEUTICALS INC,859732,134333
ALEXZA PHARMACEUTICALS INC,486629,2224
ALIGN TECHNOLOGY INC,247038,13844
ALIMERA SCIENCES INC,88750,531
ALKERMES PLC,417857,21031
ALLEGHANY CORP DEL,39732,17407
ALLEGHENY TECHNOLOGIES INC,343242,15481
ALLEGIANT TRAVEL CO,36198,4263
ALLEGION PUB LTD CO,560942,31794
ALLERGAN INC,1435554,242925
ALLETE INC,1098806,56423
ALLIANCE DATA SYSTEMS CORP,137254,38603
ALLIANCE FIBER OPTIC PRODS I,15103,273
ALLIANCE HEALTHCARE SRVCS IN,10117,273
ALLIANCE HOLDINGS GP LP,772221,50032
ALLIANCE NEW YORK MUN INC FD,13822,177
ALLIANCE ONE INTL INC,263305,658
ALLIANCE RES PARTNER L P,626346,29219
ALLIANCEBERNSTEIN GBL HGH IN,13596,195
ALLIANCEBERNSTEIN HOLDING LP,779984,20186
ALLIANCEBERNSTEIN INCOME FUN,388205,2919
ALLIANT ENERGY CORP,475032,28910
ALLIANT TECHSYSTEMS INC,403475,54033
ALLIED NEVADA GOLD CORP,1182588,4446
ALLIED WRLD ASSUR COM HLDG A,1305238,49625
ALLISON TRANSMISSION HLDGS I,101081,3143
ALLSCRIPTS HEALTHCARE SOLUTN,8961722,143836
ALLSTATE CORP,1720709,101040
ALLY FINL INC,116289,2780
ALMOST FAMILY INC,24439,540
ALNYLAM PHARMACEUTICALS INC,563111,35571
ALON USA ENERGY INC,1443516,17957
ALON USA PARTNERS LP,881488,15805
ALPHA & OMEGA SEMICONDUCTOR,41386,384
ALPHA NATURAL RESOURCES INC,572822,2125
ALPHATEC HOLDINGS INC,98425,160
ALPINE TOTAL DYNAMIC DIVID F,17758,158
ALPS ETF TR,9490489,181604
ALTERA CORP,8299684,288497
ALTISOURCE ASSET MGMT CORP,25055,18116
ALTISOURCE PORTFOLIO SOLNS S,3969,455
ALTISOURCE RESIDENTIAL CORP,64833,1687
ALTRA INDL MOTION CORP,7665,279
ALTRIA GROUP INC,7685394,322325
ALUMINUM CORP CHINA LTD,13459,121
AMAG PHARMACEUTICALS INC,60275,1249
AMARIN CORP PLC,283568,499
AMAZON COM INC,3244125,1053628
AMBAC FINL GROUP INC,28652,782
AMBARELLA INC,86390,2694
AMBER RD INC,2316592,37367
AMBEV SA,5062488,35640
AMC ENTMT HLDGS INC,15898,395
AMC NETWORKS INC,2102005,129252
AMDOCS LTD,577526,26757
AMEDICA CORP,17353,78
AMEDISYS INC,46126,772
AMER RLTY CAP HEALTHCAR TR I,89412,974
AMERCO,7722,2245
AMEREN CORP,1614098,65985
AMERICA MOVIL SAB DE CV,6606899,137093
AMERICAN AIRLS GROUP INC,1489048,63969
AMERICAN APPAREL INC,233158,210
AMERICAN ASSETS TR INC,202374,6992
AMERICAN AXLE & MFG HLDGS IN,2259130,42674
AMERICAN CAMPUS CMNTYS INC,2298343,87889
AMERICAN CAP LTD,1479963,22629
AMERICAN CAP MTG INVT CORP,293520,5876
AMERICAN CAP SR FLOATING LTD,22069,309
AMERICAN CAPITAL AGENCY CORP,1248072,29217
AMERICAN EAGLE ENERGY CORP,35034,210
AMERICAN EAGLE OUTFITTERS NE,546652,6133
AMERICAN ELEC PWR INC,1999302,111500
AMERICAN EQTY INVT LIFE HLD,3975895,97807
AMERICAN EXPRESS CO,2934297,278376
AMERICAN FINL GROUP INC OHIO,184739,11003
AMERICAN HOMES 4 RENT,152540,2709
AMERICAN INTL GROUP INC,14735179,803608
AMERICAN MIDSTREAM PARTNERS,1051761,30333
AMERICAN NATL INS CO,7616,870
AMERICAN PUBLIC EDUCATION IN,76622,2634
AMERICAN RAILCAR INDS INC,26093,1768
AMERICAN RESIDENTIAL PPTYS I,12254,230
AMERICAN RLTY CAP PPTYS INC,2913936,36511
AMERICAN SCIENCE & ENGR INC,36426,2535
AMERICAN SOFTWARE INC,31014,306
AMERICAN STS WTR CO,91743,3048
AMERICAN SUPERCONDUCTOR CORP,437459,713
AMERICAN TOWER CORP NEW,9177885,827468
AMERICAN WOODMARK CORP,21407,682
AMERICAN WTR WKS CO INC NEW,248738,12301
AMERICAS CAR MART INC,7885,312
AMERIGAS PARTNERS L P,483063,21926
AMERIPRISE FINL INC,1701573,204188
AMERIS BANCORP,21627,466
AMERISAFE INC,235593,9582
AMERISOURCEBERGEN CORP,577608,41969
AMETEK INC NEW,2428397,126956
AMGEN INC,3504291,414803
AMICUS THERAPEUTICS INC,62740,210
AMKOR TECHNOLOGY INC,222324,2486
