nameOfIssuer,value,sshPrnamt,Sole,Shared,None
1 800 FLOWERS COM,262,48430,48430,0,0
1ST SOURCE CORP,1930,60448,60448,0,0
3-D SYS CORP DEL,14689,158059,158059,0,0
3M CO,267119,1904593,1840690,1124,62779
51JOB INC,82,1057,1057,0,0
58 COM INC,623,16240,16240,0,0
8X8 INC NEW,215,21224,21224,0,0
AAON INC,5815,181991,181991,0,0
AAR CORP,8610,307412,306105,0,1307
AARONS INC,4287,145828,145828,0,0
ABAXIS INC,1675,41870,41870,0,0
ABB LTD,11968,450620,338206,0,112414
ABBOTT LABS,551844,14397197,8952595,59520,5385082
ABBVIE INC,444439,8415806,6509214,53087,1853505
ABERCROMBIE & FITCH CO,26744,812630,811565,0,1065
ABIOMED INC,2599,97188,97188,0,0
ABM INDS INC,4494,157193,157193,0,0
ABRAXAS PETE CORP,161,49329,49329,0,0
ACACIA RESH CORP,343,23608,23608,0,0
ACADIA HEALTHCARE COMPANY IN,18718,395477,395477,0,0
ACADIA PHARMACEUTICALS INC,12483,499530,499530,0,0
ACADIA RLTY TR,45656,1838724,1728208,132,110384
ACCELERATE DIAGNOSTICS INC,4107,336609,336609,0,0
ACCELRYS INC,1625,170384,170384,0,0
ACCENTURE PLC IRELAND,232103,2822956,2655607,0,167349
ACCESS MIDSTREAM PARTNERS L,340668,6020992,5856022,0,164970
ACCO BRANDS CORP,1065,158435,158435,0,0
ACCRETIVE HEALTH INC,1150,125512,125512,0,0
ACCURAY INC,965,111015,111015,0,0
ACCURIDE CORP NEW,215,57743,57743,0,0
ACE LTD,103573,1000412,999359,0,1053
ACELRX PHARMACEUTICALS INC,157,13902,13902,0,0
ACETO CORP,1143,45715,45715,0,0
ACHILLION PHARMACEUTICALS IN,7955,2396761,2396761,0,0
ACI WORLDWIDE INC,9702,149259,149259,0,0
ACORDA THERAPEUTICS INC,43603,1493239,1421534,0,71705
ACORN ENERGY INC,324,79591,79591,0,0
ACTAVIS PLC,180185,1072529,991072,0,81457
ACTIVISION BLIZZARD INC,42863,2403919,1374618,0,1029301
ACTUANT CORP,54624,1490832,1409508,0,81324
ACTUATE CORP,2248,291459,291459,0,0
ACUITY BRANDS INC,11135,101857,101857,0,0
ACURA PHARMACEUTICALS INC,37,22230,22230,0,0
ACXIOM CORP,8947,241950,241950,0,0
ADAMS EXPRESS CO,3648,279085,240322,0,38763
ADDUS HOMECARE CORP,349,15540,15540,0,0
ADOBE SYS INC,309347,5166176,3903358,29458,1233360
ADTRAN INC,33147,1227215,1159787,0,67428
ADVANCE AUTO PARTS INC,14049,126926,126926,0,0
ADVANCED EMISSIONS SOLUTS IN,548,10098,10098,0,0
ADVANCED ENERGY INDS,3475,152018,152018,0,0
ADVANCED MICRO DEVICES INC,11236,2903390,2896864,0,6526
ADVANCED SEMICONDUCTOR ENGR,194,40445,40445,0,0
ADVANTAGE OIL & GAS LTD,261,60121,60121,0,0
ADVENT SOFTWARE INC,3831,109610,109610,0,0
ADVISORY BRD CO,6035,94787,94787,0,0
AECOM TECHNOLOGY CORP DELAWA,6604,224401,221423,0,2978
AEGERION PHARMACEUTICALS INC,11046,155668,155668,0,0
AEGION CORP,2539,115997,110402,0,5595
AEGON N V,4394,463570,461580,0,1990
AERCAP HOLDINGS NV,26579,693080,693080,0,0
AEROFLEX HLDG CORP,93133,14328213,14328213,0,0
AEROPOSTALE,1839,202338,202338,0,0
AEROVIRONMENT INC,15324,525873,519079,0,6794
AES CORP,55832,3847865,2465725,5385,1376755
AETNA INC NEW,337529,4920961,4897240,0,23721
AFC ENTERPRISES INC,3052,79266,60866,0,18400
AFFILIATED MANAGERS GROUP,41915,193262,156401,0,36861
AFFYMETRIX INC,2582,301238,301238,0,0
AFLAC INC,109432,1638218,1556459,3413,78346
AG MTG INVT TR INC,190,12136,12136,0,0
AGCO CORP,27150,458699,458699,0,0
AGILENT TECHNOLOGIES INC,748493,13087839,11126439,23297,1938103
AGILYSYS INC,1150,82618,82618,0,0
AGIOS PHARMACEUTICALS INC,259,10812,10812,0,0
AGL RES INC,15948,337678,335893,0,1785
AGNICO EAGLE MINES LTD,9644,365590,340790,0,24800
AGREE REALTY CORP,1259,43402,43402,0,0
AGRIUM INC,21716,237380,237380,0,0
AIR LEASE CORP,7058,227075,227075,0,0
AIR METHODS CORP,4311,73995,73995,0,0
AIR PRODS & CHEMS INC,76387,683370,669700,0,13670
AIR TRANSPORT SERVICES GRP I,167,20639,20639,0,0
AIRCASTLE LTD,3387,176776,176776,0,0
AIRGAS INC,246711,2205725,2088010,9296,108419
AIXTRON SE,2033,140004,140004,0,0
AK STL HLDG CORP,7280,887793,887793,0,0
AKAMAI TECHNOLOGIES INC,44056,933789,932504,0,1285
AKORN INC,5792,235262,235262,0,0
ALAMOS GOLD INC,2242,184840,160440,0,24400
ALASKA AIR GROUP INC,59153,806218,642953,14704,148561
ALASKA COMMUNICATIONS SYS GR,207,98066,98066,0,0
ALBANY INTL CORP,6161,171476,171476,0,0
ALBANY MOLECULAR RESH INC,1822,180758,180758,0,0
ALBEMARLE CORP,16153,254821,254821,0,0
ALCATEL-LUCENT,2922,664011,660700,0,3311
ALCOA INC,39874,3751092,3716892,0,34200
ALERE INC,22159,612139,579684,0,32455
ALEXANDER & BALDWIN INC NEW,4755,113945,113945,0,0
ALEXANDERS INC,999,3026,3026,0,0
ALEXANDRIA REAL ESTATE EQ IN,16129,253536,253342,194,0
ALEXCO RESOURCE CORP,59,46992,46992,0,0
ALEXION PHARMACEUTICALS INC,142981,1075982,1048257,2973,24752
ALEXZA PHARMACEUTICALS INC,2218,468954,468954,0,0
ALICO INC,249,6403,6403,0,0
ALIGN TECHNOLOGY INC,15042,263256,263256,0,0
ALIMERA SCIENCES INC,227,48288,48288,0,0
ALKERMES PLC,13040,320693,320693,0,0
ALLEGHANY CORP DEL,9271,23179,23179,0,0
ALLEGHENY TECHNOLOGIES INC,14982,420493,419662,0,831
ALLEGIANT TRAVEL CO,10525,99823,99823,0,0
ALLEGION PUB LTD CO,52441,1186737,1186021,0,716
ALLERGAN INC,207283,1866073,1782677,15073,68323
ALLETE INC,46323,928694,878143,0,50551
ALLIANCE DATA SYSTEMS CORP,33139,126041,126041,0,0
ALLIANCE FIBER OPTIC PRODS I,497,33025,33025,0,0
ALLIANCE HEALTHCARE SRVCS IN,473,19138,19138,0,0
ALLIANCE HOLDINGS GP LP,19496,332528,332528,0,0
ALLIANCE NEW YORK MUN INC FD,164,13822,13822,0,0
ALLIANCE ONE INTL INC,3625,1188658,1188658,0,0
ALLIANCE RES PARTNER L P,3991,51823,51823,0,0
ALLIANCEBERNSTEIN GBL HGH IN,249,17419,17419,0,0
ALLIANCEBERNSTEIN HOLDING LP,6212,291088,291088,0,0
ALLIANCEBERNSTEIN INCOME FUN,4189,587557,587557,0,0
ALLIANT ENERGY CORP,14107,273393,273393,0,0
ALLIANT TECHSYSTEMS INC,16639,136742,136722,0,20
ALLIANZGI NFJ DIVID INT & PR,329,18560,17060,0,1500
ALLIED NEVADA GOLD CORP,517,145646,145646,0,0
ALLIED WRLD ASSUR COM HLDG A,19662,174286,85286,0,89000
ALLISON TRANSMISSION HLDGS I,1620,58677,58677,0,0
ALLSCRIPTS HEALTHCARE SOLUTN,123216,7970007,7753688,0,216319
ALLSTATE CORP,94411,1731042,1680440,0,50602
ALMOST FAMILY INC,4221,130561,130561,0,0
ALNYLAM PHARMACEUTICALS INC,28340,440750,300750,0,140000
ALON USA ENERGY INC,19516,1179916,1179916,0,0
ALON USA PARTNERS LP,280,16780,16780,0,0
ALPHA & OMEGA SEMICONDUCTOR,480,62279,62279,0,0
ALPHA NATURAL RESOURCES INC,10989,1539087,1528508,0,10579
ALPHATEC HOLDINGS INC,26,13129,13129,0,0
ALPINE GLOBAL PREMIER PPTYS,99,13768,13768,0,0
ALPINE TOTAL DYNAMIC DIVID F,73,17368,17368,0,0
ALPS ETF TR,115714,6384522,5291153,0,1093369
ALTERA CORP,629188,19353086,16557154,107250,2688682
ALTISOURCE PORTFOLIO SOLNS S,591,3724,3724,0,0
ALTISOURCE RESIDENTIAL CORP,335,11116,11116,0,0
ALTRA INDL MOTION CORP,2481,72514,72514,0,0
ALTRIA GROUP INC,323754,8433287,7644156,65994,723137
ALUMINA LTD,140,35122,35122,0,0
ALUMINUM CORP CHINA LTD,167,19214,19214,0,0
AMAG PHARMACEUTICALS INC,3213,132331,132331,0,0
AMARIN CORP PLC,444,225296,225296,0,0
AMAZON COM INC,1323220,3318091,1929738,6355,1381998
AMBAC FINL GROUP INC,537,21865,21865,0,0
AMBARELLA INC,690,20361,20361,0,0
AMBEV SA,41446,5638995,5638995,0,0
AMC NETWORKS INC,7973,117063,117063,0,0
AMCOL INTL CORP,1786,52562,52562,0,0
AMDOCS LTD,8792,213193,213168,0,25
