nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt/sshPrnamt,shrsOrPrnAmt/sshPrnamtType,investmentDiscretion,otherManager,votingAuthority/Sole,votingAuthority/Shared,votingAuthority/None,putCall
1 800 FLOWERS COM,CMN,68243Q106,262,48430,SH,DFND,1,48430,0,0,
1ST SOURCE CORP,CMN,336901103,707,22146,SH,DFND,1,22146,0,0,
1ST SOURCE CORP,CMN,336901103,1223,38302,SH,DFND,2,38302,0,0,
3-D SYS CORP DEL,CMN,88554D205,13091,140867,SH,DFND,1,140867,0,0,
3-D SYS CORP DEL,CMN,88554D205,20500,220600,SH,DFND,1,220600,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,23414,251950,SH,DFND,1,251950,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,1598,17192,SH,DFND,2,17192,0,0,
3M CO,CMN,88579Y101,201016,1433270,SH,DFND,1,1370491,0,62779,
3M CO,CMN,88579Y101,69340,494400,SH,DFND,1,494400,0,0,Put
3M CO,CMN,88579Y101,51472,367000,SH,DFND,1,367000,0,0,Call
3M CO,CMN,88579Y101,65721,468602,SH,DFND,2,468602,0,0,
3M CO,CMN,88579Y101,224,1597,SH,DFND,6,1597,0,0,
3M CO,CMN,88579Y101,158,1124,SH,OTR,"6,2",0,1124,0,
51JOB INC,CMN,316827104,82,1057,SH,DFND,1,1057,0,0,
51JOB INC,CMN,316827104,312,4000,SH,DFND,1,4000,0,0,Call
58 COM INC,CMN,31680Q104,623,16240,SH,DFND,1,16240,0,0,
58 COM INC,CMN,31680Q104,15,400,SH,DFND,1,400,0,0,Put
58 COM INC,CMN,31680Q104,268,7000,SH,DFND,1,7000,0,0,Call
8X8 INC NEW,CMN,282914100,215,21224,SH,DFND,1,21224,0,0,
AAON INC,CMN,000360206,2658,83179,SH,DFND,1,83179,0,0,
AAON INC,CMN,000360206,3157,98812,SH,DFND,2,98812,0,0,
AAR CORP,CMN,000361105,2695,96228,SH,DFND,1,94921,0,1307,
AAR CORP,CNV,000361AK1,25,25000,PRN,DFND,1,25000,0,0,
AAR CORP,CMN,000361105,5915,211184,SH,DFND,2,211184,0,0,
AARONS INC,CMN,002535300,3097,105328,SH,DFND,1,105328,0,0,
AARONS INC,CMN,002535300,699,23789,SH,DFND,2,23789,0,0,
AARONS INC,CMN,002535300,491,16711,SH,DFND,7,16711,0,0,
ABAXIS INC,CMN,002567105,1675,41870,SH,DFND,1,41870,0,0,
ABB LTD,CMN,000375204,3563,134157,SH,DFND,1,21743,0,112414,
ABB LTD,CMN,000375204,343,12900,SH,DFND,1,12900,0,0,Put
ABB LTD,CMN,000375204,1317,49600,SH,DFND,1,49600,0,0,Call
ABB LTD,CMN,000375204,8405,316463,SH,DFND,2,316463,0,0,
ABBOTT LABS,CMN,002824100,272617,7112353,SH,DFND,1,3822459,0,3289894,
ABBOTT LABS,CMN,002824100,21032,548700,SH,DFND,1,548700,0,0,Put
ABBOTT LABS,CMN,002824100,17340,452400,SH,DFND,1,452400,0,0,Call
ABBOTT LABS,CMN,002824100,240229,6267384,SH,DFND,2,5102154,0,1165230,
ABBOTT LABS,CMN,002824100,1060,27666,SH,DFND,3,26482,0,1184,
ABBOTT LABS,CMN,002824100,35600,928774,SH,DFND,5,0,0,928774,
ABBOTT LABS,CMN,002824100,57,1500,SH,DFND,6,1500,0,0,
ABBOTT LABS,CMN,002824100,2281,59520,SH,OTR,"6,2",0,59520,0,
ABBVIE INC,CMN,00287Y109,327338,6198418,SH,DFND,1,4454955,0,1743463,
ABBVIE INC,CMN,00287Y109,39586,749600,SH,DFND,1,749600,0,0,Call
ABBVIE INC,CMN,00287Y109,31918,604400,SH,DFND,1,604400,0,0,Put
ABBVIE INC,CMN,00287Y109,110952,2100964,SH,DFND,2,1992110,0,108854,
