,Company,0214price,0214amt,0514price,0514amt,0814price,0814amt,1114price,1114amt,0214-0514chng,0514-0814chng,0814-1114chng
0,1 800 FLOWERS COM,5.409869915341731,48430,5.6371576022231045,37785,5.8078830592534585,30648,7.2109448313330375,20247,-10645,-7137,-10401
1,1ST SOURCE CORP,31.928268925357337,60448,32.08439287984743,50336,30.621485584314385,47483,28.484152263589372,38302,-10112,-2853,-9181
2,3-D SYS CORP DEL,92.93365135803721,158059,59.14999384136057,1404531,59.7998762878272,2179252,46.3702328720891,1777800,1246472,774721,-401452
3,3M CO,140.24991166091652,1904593,135.66002199441292,2373330,143.23974741576305,2803342,141.68012574557966,2126198,468737,430012,-677144
4,58 COM INC,38.362068965517246,16240,41.63091073118138,45447,54.0597491839072,1679956,37.249790709759154,2582538,29207,1634509,902582
5,8X8 INC NEW,10.130041462495287,21224,10.8018517460136,17497,8.06097828471156,18236,6.662998960816675,16359,-3727,739,-1877
6,AAON INC,31.952129500909386,181991,27.87738476535301,114896,33.523768459631356,74216,17.020497803806734,10928,-67095,-40680,-63288
7,AAR CORP,28.008015301940066,307412,25.94907215310272,156653,27.56131224121457,188380,24.14475130027105,136510,-150759,31727,-51870
8,AARONS INC,29.397646542502127,145828,30.23730794407096,355951,35.64002277396836,161588,24.316015510342805,129462,210123,-194363,-32126
9,ABB LTD,26.55896320624917,450620,25.789025836728378,775640,23.02010077491707,756339,22.409756811661328,833387,325020,-19301,77048
10,ABBOTT LABS,38.329961033387264,14397197,38.50998673543172,16706160,40.899967905234455,16036883,41.59002367312687,15458034,2308963,-669277,-578849
11,ABBVIE INC,52.81003388148444,8415806,51.400088633821056,7306466,56.44012451179741,7759586,57.76013656962729,10136368,-1109340,453120,2376782
12,ABERCROMBIE & FITCH CO,32.91042663943,812630,38.4991415956544,511414,43.251962636645004,358319,36.33933269494111,305977,-301216,-153095,-52342
13,ABIOMED INC,26.741984607153142,97188,26.037488148202172,82266,25.137663965617584,44674,24.825757108493185,32426,-14922,-37592,-12248
14,ABM INDS INC,28.58905930925677,157193,28.7498872553441,44348,26.965305226174788,11385,25.70165202972425,32566,-112845,-32963,21181
